"[67.97666444  6.68000473  1.45265011 16.07043938  1.23485817  1.43229054
  1.17145382]","[68.63087450499108, 6.0575373662384004, 0.11942224859091098, 15.01502026662859, 0.3194004895040392, 0.505719030417559, 0.03451504855984007]"
"[ 5.64507315  2.76291516  1.03864245 17.06979892  1.13322515  0.9473491
  0.71851553]","[6.29320796209469, 2.437719782196811, 0.01018160690021809, 16.293583040458138, 0.3268864025450773, 0.08122072175142966, -0.015089537635047735]"
"[ 2.59931265  6.04810986  1.22597492 18.83063734  1.43945874  0.37750182
  0.94143025]","[3.2261132685671265, 5.5165106833158255, 0.07030405753849257, 17.873139485749792, 0.2836979098065628, 0.12125419535950464, 0.01478257180041794]"
"[81.22050544  4.58868038  0.72074371 18.25969489  0.79015389  1.45839299
  0.72253709]","[81.95663091836299, 2.85132310254756, -0.12302267102675217, 17.058776189077776, -0.3375462989177489, -0.5396804441911354, -0.04290069953990839]"
"[18.2065186   5.99827763  0.82016535 13.56482316  0.85653979  0.51503192
  1.11580421]","[18.52552435433702, 4.5563556419719635, 0.05499693551850731, 12.397620897806855, -0.26529540708520044, 0.11554835898707154, 0.03851015554319229]"
"[ 6.87802170e+01  5.47918809e+00  1.10367258e+00  1.51083793e+01
  6.38541232e-01 -2.40238086e-02  8.87620831e-01]","[69.31151400841372, 3.89821492113386, -0.08050885554550036, 14.362772206543804, -0.2756861354078924, -0.49670201592382024, -0.00978682679439043]"
"[ 3.68344002  5.71934945  1.26275482 20.78138186  0.69283599  1.05013617
  0.95578826]","[4.327770065064501, 4.230699388552971, 0.03491250188838009, 19.954795055090223, -0.2568511427039506, 0.18143896203872956, -0.021138618297660866]"
"[21.87389889  1.18558185  1.12386488 17.69076847  0.7389704   0.83760081
  0.78442162]","[22.354711774200606, 0.3562825157913017, 0.024938108793588612, 16.93425443567455, -0.04318094449000919, 0.08799635664412155, 0.009722360315373789]"
"[55.45516365  4.68750816  0.59398439 15.88606623  1.10648972  1.03413506
  1.0346054 ]","[55.95662553477266, 3.6832919644082325, -0.1168064125000206, 14.848643428880242, -0.02932621621139634, -0.4602356771011777, -0.02706699617526711]"
"[48.62367114  5.03439958  1.23707914 19.21691894  0.68982571  0.492189
  1.39860122]","[49.39323207127414, 3.7770893308631046, 0.16905213218191353, 18.31972143389597, -0.2478762722783992, 0.618841193189862, 0.05524534564859848]"
"[55.88821043  3.31484938  0.89876974 15.07172277  1.14265223  0.55127061
  0.7262701 ]","[56.25115709706649, 2.2948959152371304, -0.1307964115293833, 14.024142026011626, 0.294270269851403, -0.7004506476973473, -0.03921721747077623]"
"[74.65273195  5.116447    1.09123099 21.19533906  0.88158979  1.19681067
  0.96197226]","[75.44045637045251, 3.8179388075659215, -0.15647230785116972, 20.298342952639317, -0.13709659203843502, -0.7401148262600823, -0.058476946263975205]"
"[76.65866554  4.98652111  1.33210483 15.39764254  1.55549671  0.97834092
  1.16810327]","[76.94536812883638, 4.3715035388207575, 0.10211197896399969, 14.556441808856393, 0.41317481530883166, 0.35113892091563154, 0.015468417218389152]"
